Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.175565060,1,1,1,0
0.175572700,1,1,0,0
0.175613840,1,1,1,0
0.175621580,1,1,0,0
0.177046840,0,1,0,0
0.177055860,0,0,0,0
0.177093080,0,0,0,1
0.177109080,0,0,0,0
0.177516460,0,0,1,0
0.177524080,0,0,0,0
0.177565200,0,0,1,0
0.177572820,0,0,0,0
0.177613960,0,0,1,0
0.177621700,0,0,0,0
0.179047620,1,0,0,0
0.179056680,1,1,0,0
0.179093420,1,1,0,1
0.179109400,1,1,0,0
0.179516640,1,1,1,0
0.179524280,1,1,0,0
0.179565400,1,1,1,0
0.179573020,1,1,0,0
0.179614160,1,1,1,0
0.179621900,1,1,0,0
0.181058280,0,1,0,0
0.181067320,0,0,0,0
0.181104600,0,0,0,1
0.181120600,0,0,0,0
0.181532340,0,0,1,0
0.181539960,0,0,0,0
0.181581040,0,0,1,0
0.181588660,0,0,0,0
0.181629860,0,0,1,0
0.181637600,0,0,0,0
0.183045500,1,0,0,0
0.183054560,1,1,0,0
0.183091480,1,1,0,1
0.183107480,1,1,0,0
0.183514340,1,1,1,0
0.183521980,1,1,0,0
0.183563100,1,1,1,0
0.183570720,1,1,0,0
0.183611860,1,1,1,0
0.183619620,1,1,0,0
0.185047100,0,1,0,0
0.185056080,0,0,0,0
0.185093380,0,0,0,1
0.185109360,0,0,0,0
0.185516540,0,0,1,0
0.185524160,0,0,0,0
0.185565240,0,0,1,0
0.185572860,0,0,0,0
0.185614060,0,0,1,0
0.185621800,0,0,0,0
0.187047220,1,0,0,0
0.187056280,1,1,0,0
0.187093060,1,1,0,1
0.187109060,1,1,0,0
0.187516040,1,1,1,0
0.187523680,1,1,0,0
0.187564800,1,1,1,0
0.187572440,1,1,0,0
0.187613560,1,1,1,0
0.187621320,1,1,0,0
0.189045280,0,1,0,0
0.189054360,0,0,0,0
0.189091640,0,0,0,1
0.189107640,0,0,0,0
0.189514940,0,0,1,0
0.189522560,0,0,0,0
0.189563760,0,0,1,0
0.189571380,0,0,0,0
0.189612440,0,0,1,0
0.189620200,0,0,0,0
0.191057620,1,0,0,0
0.191066660,1,1,0,0
0.191103520,1,1,0,1
0.191119520,1,1,0,0
0.191526380,1,1,1,0
0.191534020,1,1,0,0
0.191575080,1,1,1,0
0.191582700,1,1,0,0
0.191623900,1,1,1,0
0.191631640,1,1,0,0
0.193046840,0,1,0,0
0.193055800,0,0,0,0
0.193093280,0,0,0,1
0.193109280,0,0,0,0
0.193516520,0,0,1,0
0.193524140,0,0,0,0
0.193565200,0,0,1,0
0.193572840,0,0,0,0
0.193614040,0,0,1,0
0.193621760,0,0,0,0
0.195058280,1,0,0,0
0.195067360,1,1,0,0
0.195104160,1,1,0,1
0.195120160,1,1,0,0
0.195527260,1,1,1,0
0.195534900,1,1,0,0
0.195535580,1,1,1,0
0.195535600,1,1,0,0
0.195576100,1,1,1,0
0.195583700,1,1,0,0
0.195624800,1,1,1,0
0.195632540,1,1,0,0
0.197060120,0,1,0,0
0.197069200,0,0,0,0
0.197106360,0,0,0,1
0.197122360,0,0,0,0
0.197529340,0,0,1,0
0.197536960,0,0,0,0
0.197578160,0,0,1,0
0.197585780,0,0,0,0
0.197626920,0,0,1,0
0.197634660,0,0,0,0
0.199063300,1,0,0,0
0.199072320,1,1,0,0
0.199110120,1,1,0,1
0.199126120,1,1,0,0
0.199533100,1,1,1,0
0.199540740,1,1,0,0
0.199581920,1,1,1,0
0.199589540,1,1,0,0
0.199630620,1,1,1,0
0.199638360,1,1,0,0
0.201057100,0,1,0,0
0.201066160,0,0,0,0
0.201103380,0,0,0,1
0.201119360,0,0,0,0
0.201526740,0,0,1,0
0.201534360,0,0,0,0
0.201534960,0,0,1,0
0.201534980,0,0,0,0
0.201575440,0,0,1,0
0.201583040,0,0,0,0
0.201624200,0,0,1,0
0.201631940,0,0,0,0
0.203047120,1,0,0,0
0.203056140,1,1,0,0
0.203092940,1,1,0,1
0.203108940,1,1,0,0
0.203515980,1,1,1,0
0.203523620,1,1,0,0
0.203564680,1,1,1,0
